指标名称,北京:常住人口,天津:常住人口,上海:常住人口,石家庄市:常住人口,太原市:常住人口,呼和浩特市:年末常住人口,沈阳市:年末总人口,大连市:年末总人口,长春市:年末户籍人口,哈尔滨市:年末总人口,南京市:常住人口,杭州市:年末总人口,宁波市:年末总人口,合肥市:常住人口,福州市:常住人口,厦门市:常住人口,南昌市:年末总人口,济南市:常住人口,青岛市:常住人口,郑州市:常住人口,武汉市:年末常住人口,长沙市:年末常住人口,广州市:常住人口,深圳市:常住人口,南宁市:常住人口,海口市:常住人口,重庆:常住人口,成都市:年末常住人口,贵阳市:常住人口,昆明市:常住人口,西安市:年末常住人口,兰州市:年末常住人口,西宁市:年末户籍人口,银川市:年末总人口,乌鲁木齐市:年末户籍人口,唐山市:常住人口,秦皇岛市:常住人口,包头市:年末常住人口,丹东市:年末总人口,锦州市:年末总人口,吉林市:年末户籍人口,牡丹江市:年末总人口,无锡市:常住人口,扬州市:常住人口,徐州市:常住人口,温州市:年末总人口,金华市:年末总人口,蚌埠市:户籍人口,安庆市:户籍人口,泉州市:常住人口,九江市:年末总人口,赣州市:年末总人口,烟台市:常住人口,济宁市:常住人口,洛阳市:常住人口,平顶山市:常住人口,襄阳市:年末常住人口,岳阳市:年末常住人口,宜昌市:年末常住人口,常德市:年末常住人口,惠州市:常住人口,韶关市:常住人口,湛江市:常住人口,桂林市:常住人口,北海市:常住人口,三亚市:户籍人口,泸州市:年末常住人口,南充市:年末常住人口,遵义市:常住人口,大理州:总人口
频率,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年,年
单位,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,人,万人,人,人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,万人,人,万人,万人,万人,万人
2012-12-31,2069.30,1413.15,2380.43,1038.60,425.63,294.88,724.80,590.30,756.90,993.50,816.10,700.52,577.71,757.20,727.00,367.00,5131564.00,694.96,886.85,903.00,1012.00,715.00,1283.89,1054.74,679.08,214.13,2945.00,1417.78,445.17,653.30,855.29,363.05,1984602.00,2046341.00,257.80,766.85,302.16,273.16,240.50,307.80,430.79,259.60,646.55,446.72,856.41,800.21,470.63,3678105.00,6204302.00,829.00,4773125.00,8451853.00,698.29,815.81,659.00,492.91,555.14,552.00,408.83,576.00,467.40,286.87,710.92,483.94,157.20,572460.00,425.00,630.03,611.70,349.30
2011-12-31,2018.60,1354.58,2347.46,1027.98,423.54,291.19,722.70,588.50,761.77,993.27,810.91,695.71,576.40,752.08,720.00,361.00,5088996.00,688.51,879.51,885.70,1002.00,709.07,1275.14,1046.74,673.40,209.73,2919.00,1407.08,439.00,648.64,851.34,362.09,1974175.00,2025741.00,249.35,762.74,300.62,269.29,241.10,308.30,433.31,267.21,643.22,446.30,857.26,798.36,469.07,3654470.00,6186477.00,821.00,4762683.00,8427758.00,697.57,812.86,656.71,491.80,552.72,548.53,406.85,573.26,463.36,285.00,706.92,478.82,155.44,581441.00,422.50,628.53,610.00,347.80
2010-12-31,1961.90,1299.29,2302.66,1017.52,420.47,287.36,719.60,586.40,758.89,992.02,800.76,689.12,574.08,570.25,711.54,353.13,5053270.00,681.83,871.90,866.08,978.54,704.07,1270.96,1037.20,666.16,204.62,2884.62,1404.80,432.93,638.32,847.41,361.62,1960060.00,2004456.00,245.27,758.24,299.01,265.61,241.40,308.30,434.03,268.88,637.56,446.08,858.21,786.80,466.65,3622273.00,6156175.00,812.85,4732450.00,8382101.00,696.82,809.18,655.39,490.52,550.03,547.61,405.97,571.46,460.11,283.02,700.38,474.80,153.93,570130.00,421.80,627.90,613.29,346.00
2009-12-31,1860.00,1228.16,2210.28,988.11,350.18,270.85,716.50,584.80,756.51,991.60,771.31,683.38,571.02,510.00,687.00,252.00,4648898.00,667.85,850.03,752.00,910.00,651.59,1186.97,995.01,701.30,187.85,2859.00,1286.60,423.12,628.00,843.46,332.18,1939439.00,1701839.00,241.19,746.79,297.80,257.21,242.60,310.20,434.19,270.60,619.57,449.55,868.19,779.11,463.68,3606431.00,6158832.00,786.00,4789502.00,8428813.00,703.40,803.18,642.23,490.28,544.61,548.34,404.55,616.72,435.08,285.04,693.44,491.47,158.97,557054.00,434.30,625.30,627.37,350.80
2008-12-31,1771.00,1176.00,2140.65,984.60,347.14,267.21,713.50,583.40,752.53,990.10,758.89,677.64,568.09,501.00,683.00,249.00,4615236.00,662.69,845.61,743.60,897.00,645.14,1115.34,954.28,695.64,183.50,2839.00,1270.62,413.44,609.83,837.52,331.01,1923843.00,1654282.00,236.05,743.25,295.74,253.22,242.70,310.10,433.58,269.90,610.73,447.12,869.21,771.99,461.41,3583101.00,6138940.00,779.00,4755583.00,8366609.00,701.91,796.70,642.03,486.90,543.70,545.39,403.90,611.51,418.65,286.70,691.12,488.00,157.31,545817.00,430.40,624.50,641.63,349.30
2007-12-31,1676.00,1115.00,2063.58,978.08,345.71,263.52,709.80,578.20,745.96,987.37,741.30,672.35,564.56,491.00,676.00,242.98,4580635.00,657.15,838.67,735.60,891.00,637.36,1053.01,912.37,681.91,179.45,2816.00,1207.30,405.26,591.67,830.54,329.43,1900321.00,1616594.00,231.30,738.91,293.00,249.61,242.90,309.40,432.66,269.83,599.21,445.97,871.12,764.57,459.19,3552702.00,6109857.00,774.00,4721728.00,8301348.00,699.45,791.66,634.15,483.81,542.50,542.94,403.00,609.57,402.86,288.49,688.48,488.39,159.46,535215.00,430.78,629.40,653.98,348.00
2006-12-31,1601.00,1075.00,1964.11,970.00,344.26,260.63,703.60,572.10,739.26,980.35,719.06,666.31,560.45,468.00,671.00,233.00,4545414.00,648.37,829.42,724.23,875.00,628.80,996.66,871.10,668.18,171.74,2808.00,1143.98,396.66,573.50,822.52,321.82,1867779.00,1449661.00,201.84,733.00,290.00,245.76,242.50,309.20,430.44,268.17,584.17,445.91,876.48,756.48,456.80,3524716.00,6078893.00,769.00,4691492.00,8240465.00,696.17,787.09,636.02,483.66,543.60,540.26,403.60,608.50,387.51,290.94,685.64,488.06,157.62,524170.00,431.17,634.31,667.85,348.60
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
